weight,word
75,i
42,you
40,work
38,education
32,hard
27,average
26,they
25,think
24,know
21,life
20,pay
19,level
19,very
19,happy
17,culture
16,job
16,school
16,good
16,family
14,up
14,maybe
12,better
12,for
12,them
12,support
12,your
12,above
11,graduate
11,american
11,can
11,just
10,high
10,get
10,not
10,hispanic
10,enjoy
9,pursue
9,want
9,really
9,on
9,top
9,no
9,best
9,engineer
9,value
9,resource
8,make
8,say
8,but
8,will
8,people
8,what
8,income
8,more
7,care
7,money
7,like
7,college
7,seven
7,their
7,first
7,we
7,fine
7,master
7,generation
7,nba
7,balance
6,well
6,general
6,easy
6,pause
6,go
6,lot
6,things
6,career
6,my
6,working
6,would
6,language
6,take
6,push
6,try
6,african
6,social
6,health
5,phd
5,feel
5,least
5,then
5,time
5,most
5,if
5,one
5,different
5,too
5,asian
5,thing
5,second
5,do
5,native
5,long
5,laughs
5,promotion
5,legacy
5,science
5,stable
5,potential
4,number
4,diversified
4,from
4,should
4,necessary
4,experience
4,depends
4,okay
4,tough
4,network
4,certain
4,contribution
4,big
4,same
4,there
4,are
4,group
4,because
4,connection
4,something
4,need
4,out
4,nine
4,all
4,challenge
4,personality
4,homeless
4,decent
4,change
4,back
4,lucky
4,mba
4,open
4,affordable
4,outlier
4,single
4,system
4,overall
4,socializing
3,population
3,stereotype
3,secure
3,bias
3,higher
3,sense
3,build
3,again
3,dominant
3,as
3,dream
3,lower
3,stressful
3,six
3,based
3,doc
3,let
3,even
3,find
3,move
3,opportunity
3,define
3,how
3,environment
3,attitude
3,problem
3,much
3,some
3,being
3,hope
3,eight
3,than
3,league
3,kind
3,see
3,difference
3,course
3,child
3,leadership
3,wellesley
3,motivation
3,struggle
3,off
3,comfortable
3,percentage
3,benefit
3,generally
3,middle
3,little
3,illegal
3,immigrant
3,house
3,chinatown
3,promote
3,status
3,finance
3,technology
3,wish
3,salary
3,doctor
3,labor
3,financial
3,responsibility
3,personal
3,range
3,summer
3,influence
3,strong
3,business
3,hourly
3,leader
3,public
3,horizon
3,center
3,racist
3,comfort
3,zone
3,median
3,accumulation
3,relationship
2,post
2,pursueeducation
2,white
2,why
2,skills
2,expectation
2,animal
2,wife
2,reasonable
2,many
2,after
2,growth
2,ceiling
2,organization
2,company
2,reach
2,ll
2,low
2,young
2,use
2,miss
2,americans
2,responsible
2,accountable
2,limit
2,into
2,hold
2,yours
2,speak
2,right
2,now
2,ivy
2,children
2,qualified
2,face
2,sure
2,provide
2,cannot
2,name
2,talent
2,about
2,constructor
2,police
2,mit
2,study
2,percent
2,minority
2,totally
2,me
2,firstly
2,important
2,worth
2,donald
2,race
2,travel
2,research
2,skill
2,normal
2,goal
2,program
2,honestly
2,wall
2,street
2,lawyer
2,teacher
2,household
2,old
2,audio
2,speaking
2,food
2,sat
2,mind
2,scientist
2,town
2,newton
2,aggressive
2,risky
2,housing
2,trap
2,worker
